"target_id","gene_name","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"ENST00000371817.5","COL5A1",5.62921614145901e-192,4.17260017269507e-187,2.28348228854074,0.0772615861763276,7.8744339566158,1.57145063186195,0.0020407522745948,0.00691327677312834,0.00621561847845318,0.00691327677312834
"ENST00000264563.4","IL11",7.94343477011673e-146,2.94399579450066e-141,2.98570936304423,0.116107678175299,6.19768908628956,2.6905153116885,0.00591105299458863,0.0143104364022995,0.0118055060406965,0.0143104364022995
"ENST00000374736.5","ABCA1",9.64229589901855e-139,2.3824184707295e-134,2.66446955224519,0.106265721018461,6.04762526219405,2.13939771372589,0.00421970649694578,0.00775318759479184,0.0127188986984142,0.0127188986984142
"ENST00000359534.3","KCNK5",4.07828314996449e-138,7.5574665051992e-134,-2.58847816899471,0.103472237153785,6.20487455060594,2.01889424453186,0.00429544021276114,0.00674015369123078,0.0117643155796527,0.0117643155796527
"ENST00000401412.3","AGR2",1.22397862089747e-130,1.81452382590808e-126,-1.97594035263588,0.0812497442228295,7.32970263261857,1.17922390827597,0.00172087066453083,0.008181410739882,0.00731753585461349,0.008181410739882
"ENST00000276297.6","DLC1",5.16041666485587e-120,6.37517874776294e-116,4.24089004194877,0.182063297810491,5.31016315335067,5.40116480594439,0.0310997810165453,-0.024074404048655,0.0186207855979021,0.0186207855979021
"ENST00000373700.6","HERC4",5.71410398309846e-119,6.05074633775986e-115,1.76828795349671,0.07625142908389,7.49443272084181,0.942058687230111,0.00179376555697572,0.00321373605006914,0.00692765509902754,0.00692765509902754
"ENST00000549078.3","KRT18",7.5770982498613e-118,7.02056038340899e-114,-1.79854111166771,0.0779307598647394,7.44395366201833,0.976713281448432,0.0020683148169459,0.00579198810900259,0.00704149018269761,0.00704149018269761
"ENST00000379019.4","GPCPD1",1.3473399590367e-111,1.10966919026263e-107,-1.64692601352299,0.0733672147672016,7.48088360682931,0.817063950539547,0.00111638796926743,0.00307656494814191,0.00695773433477759,0.00695773433477759
"ENST00000489523.3","AGR2",3.56770324667924e-105,2.64452435456852e-101,-2.07538825611184,0.0952874276616502,7.71123347180537,1.30306655672654,0.00138954414764973,0.0122299966579116,0.00649154125999493,0.0122299966579116
"ENST00000448775.3","CLMP",1.01737852300533e-99,6.85565142174974e-96,2.1779134400586,0.102746208394796,6.15474151086614,1.42816943893808,0.00377880155356592,0.00269288997357751,0.0120563734556942,0.0120563734556942
"ENST00000546583.3","KRT8",2.28212920056669e-98,1.40787116375731e-94,-2.21892887140476,0.105411812736208,6.51195034965408,1.48228559920043,0.00647790267852196,1.20951894185531e-05,0.0101895727179782,0.0101895727179782
"ENST00000282406.6","PLEKHH2",2.46914968550605e-98,1.40787116375731e-94,-2.92035531716841,0.138758192794392,6.06113280091439,2.58164715683522,0.00731495506091175,0.0215657990404366,0.0126323174264968,0.0215657990404366
"ENST00000205948.8","APOH",5.25669473689866e-94,2.78319457627055e-90,-2.75161979715328,0.133778341119065,6.72221944547908,2.29289942588883,0.00436118336779706,0.0224837834610563,0.00928597253885197,0.0224837834610563
"ENST00000394945.3","SPOCK1",5.43201631334296e-93,2.68428518140156e-89,7.00431364039792,0.342426974636001,2.80900963963901,14.785514294966,0.0242765509800024,0.0599627278283226,0.151607798457545,0.151607798457545
"ENST00000232424.3","HES1",9.76341558878876e-87,4.52314635689611e-83,-2.1075289725394,0.106763983255864,6.44290936182096,1.34618176877268,0.00277343204040454,0.014324390140583,0.010514624177135,0.014324390140583
